
This table contains general galaxy parameters for the complete barred-galaxy sample,
along with measurements for the bar (in the case of single-barred galaxies) or
outer bar (of double-barred galaxies).

--------------------------------------------------------------------------------
   Bytes Format Units   Label        Explanations
--------------------------------------------------------------------------------
   1-  9  A8    ---     Name           Galaxy Name
  12- 35  A24   ---     Type           Hubble type of galaxy (RC3)
  12- 35  I2    ---     T              Numerical Hubble type
  42- 45  F5.2  Mpc     Distance       Distance [Mpc]
  55- 59  F5.2  ---     LogMstar       Log of stellar mass [solar masses]
  62- 64  F5.1  deg     PA             Position angle of disc major axis on sky
  68- 69  F3.2  deg     i              Inclination of disc
  71- 71  I1    ---     Source         Source for disc PA and inclination
  73- 75  F3.2  deg     PA_bar         Position angle of bar on sky
  78- 80  F3.2  arcsesc amax           Maximum-ellipticity radius of bar (outer or sole)
  83- 85  F3.2  arcsesc Lbar           Bar upper-limit radius
  88- 91  F3.2  ---     emax           Maximum ellipticity of bar
  93- 93  A1    ---     DB?            Is galaxy double-barred?
  95- 95  A1    ---     NR?            Does galaxy have nuclear ring?
  97-100  F3.2  arcsesc FWHM           PSF FWHM for best image
--------------------------------------------------------------------------------
Distances are from S4G+ETG, except as noted: (a) SBF from Tonry et al. (2001), with 
correction from Mei et al. (2005); (b) Group distance from Kourkchi & Tully (2017); 
(c) Cepheids from Yuan et al. (2020); (d) SBF from Cantiello et al. (2018); 
(e) Cepheids from Riess et al. (2016).
Sources for disc orientation: 1 = SDSS images; 2 = SGA images; 3 = IRAC1 image; 
4 = see notes in Appendix C.
--------------------------------------------------------------------------------
NGC 3941   SB(s)$0^{0}$              -2   14.2        10.49    8   52 4 166   21   32  0.47 Y   0.80
NGC 3945   (R)SB(rs)$0^{+}$          -1   23.2        10.85  158   55 4  72   32   39  0.29 Y Y 0.07
NGC 3953   SB(r)bc                    4   18.4        10.99   13   61 3  51   27   31  0.53   Y 0.40
NGC 3982   SAB(r)b:                   3   22.0        10.26   17   29 1  10  4.2  5.0  0.25     0.15
NGC 3990   S0$^{-}$                  -3   20.0         9.91   40   50 2  42   19   23  0.52     0.99
NGC 3992   SB(rs)bc                   4   20.1^{b}    10.92   68   56 4  33   54   57  0.61 Y   0.15
NGC 3998   SA(r)$0^{0}$              -2   13.7^{a}    10.46  136   38 4 126  7.8   11  0.21     0.07
NGC 4041   SA(rs)bc                   4   22.7        10.50   60   26 4  67  4.3  5.6  0.46     0.40
NGC 4051   SAB(rs)bc                  4   14.6        10.36  132   37 4 141   46   68  0.59     0.40
NGC 4102   SAB(s)b?                   3   20.4        10.55   38   55 4  67   10   15  0.45     0.15
NGC 4123   SB(r)c                     5   21.9        10.29  147   45 1 107   48   50  0.71     0.15
NGC 4133   SABb:                      3   23.6^{b}    10.11  134   51 3 170   10   15  0.49     1.60
NGC 4143   SAB(s)$0^{0}$             -2   21.2        10.61  144   59 4 163   17   28  0.38     0.07
NGC 4145   SAB(rs)d                   7   18.5        10.18   99   55 3 139  9.0   12  0.68     0.94
NGC 4151   (R$^{\prime}$)SAB(rs)ab:   2   15.8^{c}    10.18   22   20 4 130   65   90  0.50     0.07
NGC 4203   SAB$0^{-}$                -3   14.9        10.53   11   28 4   9   13   46  0.24     0.07
NGC 4221   (R)SB(r)$0^{+}$           -1   18.0        10.03   78   30 1  16   34   41  0.45   Y 0.07
NGC 4245   SB(r)0/a                   0   16.3^{b}    10.25  173   38 4 137   37   42  0.48 Y Y 0.15
NGC 4250   SAB(r)$0^+$               -1   28.3        10.45   99   29 4 165   45   57  0.58 Y Y 0.15
NGC 4262   SB(s)$0^-$?               -3   20.5        10.38  155   30 1  18   13   16  0.34     0.07
NGC 4267   SB(s)$0^{-}$?             -3   16.7        10.46  127   25 2  33   18   26  0.21     0.07
NGC 4303   SAB(rs)bc                  4   16.5        10.86  138   25 4 179   29   34  0.50 Y Y 0.07
NGC 4314   SB(rs)a                    1   16.3^{b}    10.59   65   25 4 146   67   80  0.64 Y Y 0.07
NGC 4319   SB(r)ab                    2   23.6^{b}    10.35  135   42 4 152   15   17  0.51     0.07
NGC 4321   SAB(s)bc                   4   15.9        10.93  153   27 4 107   55   58  0.54 Y Y 0.07
NGC 4340   SB(r)$0^{+}$              -1   15.6        10.14  101   56 1  31   39   48  0.39 Y Y 0.07
NGC 4369   (R)SA(rs)a                 1   21.6        10.23   53   19 1 155  4.6  6.8  0.62     0.40
NGC 4371   SB(r)$0^{+}$              -1   16.8        10.51   86   58 4 167   34   40  0.26   Y 0.07
NGC 4377   SA$0^{-}$                 -3   18.0        10.13    5   38 1 158  6.7  9.3  0.22     0.07
NGC 4379   S$0^{-}$                  -3   16.3        10.04  104   34 1  90   13   26  0.30     0.07
NGC 4389   SB(rs)bc                   4    7.3         9.21   95   50 3 104   38   47  0.78     0.40
NGC 4390   SAB(s)c:                   5   25.3         9.78   89   44 2 114   11   12  0.47     0.88
NGC 4394   (R)SB(r)b                  3   16.8        10.44  110   26 1 144   35   43  0.56   Y 0.07
NGC 4405   SA(rs)0/a                  0   17.0^{d}     9.93   18   45 1   5  9.2  9.5  0.58     0.15
NGC 4421   SB(s)0/a                   0   15.3        10.01   10   46 1 169   22   35  0.60     1.20
NGC 4424   SB(s)a                     1   15.9         9.93   92   61 1 100   53   84  0.67     0.15
NGC 4430   SB(rs)b                    3   17.0         9.80   78   31 1 118   13   16  0.59     0.07
NGC 4450   SA(s)ab                    2   16.5        10.72  170   48 1  10   44   50  0.53 Y Y 0.13
NGC 4457   (R)SAB(s)0/a               0   17.4        10.58   80   19 1  70   36   48  0.37 Y Y 0.75
NGC 4477   SB(s)$0^{0}$:?            -2   19.2        10.81   80   33 1  12   25   37  0.35     0.07
NGC 4479   SB(s)$0^{0}$              -2   18.3         9.82  145   18 1  19   26   32  0.47     0.07
NGC 4483   SB(s)$0^{+}$              -1   16.9         9.89   60   56 1 110   17   25  0.34     0.07
NGC 4487   SAB(rs)cd                  6   20.0        10.13   75   52 3  93   14   18  0.54     0.07
NGC 4504   SA(s)cd                    6   21.8        10.15  143   55 3 149   12   17  0.47     0.07
NGC 4519   SB(rs)d                    7   28.4        10.19  147   43 3  76   12   13  0.52     0.07
NGC 4528   S0                        -2   17.6         9.98    6   56 1  85  5.1  6.0  0.09     0.07
NGC 4535   SAB(s)c                    5   17.0        10.69    0   46 1  37   38   40  0.65     0.13
NGC 4540   SAB(rs)cd                  6   16.8         9.88   30   36 3  56   18   20  0.55     0.07
NGC 4548   SB(rs)b                    3   16.2        10.70  149   41 1  64   56   59  0.49 Y   0.07
NGC 4579   SAB(rs)b                   3   19.6        11.10   95   40 4  52   39   48  0.46     0.07
NGC 4596   SB(r)$0^{+}$              -1   16.8        10.68  120   42 3  73   52   57  0.51     0.07
NGC 4598   SB$0^{0}$                 -2   27.2         9.99  107   41 1 158   18   22  0.46     0.96
NGC 4608   SB(r)$0^{0}$              -2   17.3        10.44  100   36 4  25   44   49  0.48     1.10
NGC 4612   (R)SAB$0^{0}$             -2   17.5        10.22  143   44 3  83   17   20  0.22     0.07
NGC 4620   S0                        -2   21.4         9.88   50   29 1  71  9.5   15  0.35     0.97
NGC 4624   SB(s)0/a                   0   16.2^{b}    10.65  120   26 4   4   45   65  0.51     0.93
NGC 4639   SAB(rs)bc                  4   20.2^{e}    10.23  131   48 1 172   19   22  0.46     0.15
NGC 4643   SB(rs)0/a                  0   25.7        11.03   53   38 4 133   50   62  0.45     0.07
NGC 4654   SAB(rs)cd                  6   16.4        10.48  120   58 3 122   10   16  0.63     0.07
NGC 4691   (R)SB(s)0/a                0   22.5        10.48   30   38 4  82   30   45  0.64     1.20
NGC 4699   SAB(rs)b                   3   24.7        11.33   35   37 4  50   13   16  0.46     0.15
NGC 4713   SAB(rs)d                   7   16.4         9.84   96   49 4  87  8.9   10  0.57     0.07
NGC 4725   SAB(r)ab                   2   13.6        10.88   38   50 4  50  118  125  0.67 Y   0.15
NGC 4736   (R)SA(r)ab                 2    5.1        10.52  113   35 4  90  125  170  0.23 Y Y 0.40
NGC 4750   (R)SA(rs)ab                2   26.1        10.73  166   30 4 127   33   44  0.24 Y   0.15
NGC 4754   SB(r)$0^{-}$:             -3   15.6^{d}    10.55   22   62 1 142   23   27  0.23 Y   0.07
NGC 4900   SB(rs)c                    5   24.7        10.36  110   19 3 140   11   12  0.59     0.10
NGC 4904   SB(s)cd                    6   22.8        10.07   29   47 3 135  9.1   17  0.80     0.07
NGC 4941   (R)SAB(r)ab:               2   18.2        10.35   21   48 4  17   68   95  0.50 Y   0.15
NGC 4981   SAB(r)bc                   4   24.7        10.44  152   51 3 145   19   21  0.56   Y 0.70
NGC 4995   SAB(r)b                    3   28.9        10.75   95   48 3  26   16   19  0.34     0.90
NGC 5112   SB(rs)cd                   6   26.5        10.12  121   57 4 128   10   16  0.83     0.07
NGC 5194   SA(s)bc                    4    7.9        10.89  172   42 4 143   13   17  0.43     0.15
NGC 5205   SBbc                       4   30.0        10.05  163   53 3 101   11   13  0.48     1.30
NGC 5248   SAB(rs)bc                  4   14.9^{b}    10.56  114   43 4 137   82  115  0.53   Y 0.15
NGC 5300   SAB(r)c                    5   21.6        10.09  148   48 1 156  9.0   11  0.38     0.90
NGC 5347   (R')SB(rs)ab               2   27.3         9.90   35   42 2 102   22   26  0.54     0.15
NGC 5377   (R)SB(s)a                  1   27.5        10.71   25   59 4  45   58   67  0.66   Y 0.15
NGC 5457   SAB(rs)cd                  6    6.9        10.62   39   18 4  80   48   50  0.51     0.15
NGC 5480   SA(s)c                     5   28.6        10.30  183   42 4  70  5.5  8.0  0.27     0.40
