# This table summarizes useful information about galaxies in the Parent Disc Sample of
# Erwin (2018).
#
# Except for the following columns, values are from Herrera-Endoqui et al. (2015: A&A, 582, A86)
#    dist, logmstar -- distance in Mpc and log of galaxy stellar mass (in solar masses), from 
#       Munoz-Mateos et al. (2015: ApJS, 219, 3)
#    bar_strength -- Buta et al. (2015, ApJS, 217, 32)
#    A2, A4 -- Diaz-Garcia et al. (2016a, 587, A160)
#    Re, Re_kpc, h_kpc -- Salo et al. (2015, ApJS, 219, 4)
#    R25, etc.; t_s4g -- main S4G table
#    B_tc, BmV_tc, m21c, W_gas, t_leda -- HyperLeda (as of 29 March 2017)
#        NGC4314: m21c is from HI flux in Springob+2005 (ApJS)
#    gmr_tc -- total g-r color, based on BmV_tc as described in paper
#    gmr_sga_tc -- total g-r color from Siena Galaxy Atlas
#    weight_BmVtc -- B_t-based weights for galaxy colors (see paper)
#    w25, w30, w40 -- V/V_max weights assuming D_max = 25, 30, or 40 Mpc
#    M_HI, logfgas -- based on dist + m21c, as described in paper
#    inclination -- Munoz-Mateos et al. (2015)
#    sma_dp_kpc2 -- deprojected bar semi-major axis (in kpc) using bar size and
#       PA from Herrera-Endoqui et al. and galaxy inclination and PA from Munoz-Mateos et al.
#
# "No data" values:
# For the following columns "no data" is indicated by the value -99:
#    BmV_tc, gmr_tc, gmr_sga_tc, m21c, M_HI, logfgas
# For the following columns "no data" is indicated by the value 0:
#    sma, sma_kpc, sma_ell_kpc, sma_dp_kpc, sma_dp_kpc2, sma_ell_dp_kpc2, ell_dp
# For the following columns "no data" is indicated by the value -999:
#    A2, A4, ell_dp
#
# name logmstar dist B_tc BmV_tc weight_BmVtc gmr_tc gmr_sga_tc m21c M_HI logfgas w25 w30 w40 sma sma_kpc sma_ell_kpc sma_dp_kpc sma_dp_kpc2 sma_ell_dp_kpc2 bar_strength A2 A4 ell_dp inclination R25 R25_5 R25_kpc R25_5_kpc R25c_kpc Re Re_kpc h_kpc W_gas V_rot t_s4g t_leda
ESO120-012 8.77099995866642 14.4 13.496 -99.0 2.9809316832843087 -99.0 0.3392182083129889 14.819 526381079.3948333 -0.049699688360858474 1.0 1.6876263118803057 4.000299405938502 24.5 1.7104210602865244 -52.307468547741976 -69.7432913969893 1.7412953378794223 0.0 2 -999.999 -999.999 -999.0 48.85371183037769 52.495400658739726 32.05 3.6648668920362253 2.23750999927278 3.882023907668284 31.12 2.1725838120863936 1.41706639517126 44.51 59.10770874096034 7.1 7.1 
ESO120-021 8.153000345913066 18.167 15.206 -99.0 8.325918617214413 -99.0 0.3561553268432611 14.517 1106475287.1054077 0.8909413725819242 2.4829637404095894 4.29056134342777 10.170219480717678 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 62.1144331639063 30.487460786120863 22.8 2.685214166734336 2.008133226674424 2.7288453870216434 33.04 2.9100316583036387 2.073133328485201 52.81 59.74769458313852 10.0 10.0 
ESO145-025 8.98600007164643 22.5 13.16 -99.0 2.2988879141641605 -99.0 0.46944727325439395 13.084 6352436351.868466 0.8169402506913581 1.0 1.0 1.0342664085071107 12.0 1.3089957094029523 -81.73041960584685 -108.97389280779579 1.694119499025044 0.0 2 -999.999 -999.999 -999.0 49.58192493463311 52.737708418760796 30.1 5.7527861703251535 3.283397571085739 5.700044309695487 45.09 4.918551378081594 3.1475892662351828 55.61 73.04286167437022 9.0 9.0 
ESO150-005 8.836000505289796 15.15 13.601 -99.0 3.2534759842959238 -99.0 0.5722719497680657 14.589 720112835.1866764 0.02140004650191507 1.0 1.0 1.4188682658648744 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 35.64075195768518 70.4889846254492 41.85 5.177359789957363 3.0738491746054835 5.177359789957363 64.79 4.758773907352193 2.5434724747291106 43.88 75.30446839986251 7.8 7.7 
ESO159-025 8.134999001742884 11.8 15.078 -99.0 5.914609013835592 -99.0 0.46455890655517607 15.012 295896140.64889526 0.33614029898443043 6.503902230006684 11.23874305345155 26.63998353410738 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 -999.0 38.9300332075536 34.05032447016944 19.55 1.947949621835985 1.1184156303783968 2.0257120937663315 28.4 1.6247060819819166 1.007203354907522 43.18 68.7173759033674 10.0 10.0 
ESO187-035 8.669999876242134 26.2 14.405 -99.0 2.9206982627998137 -99.0 0.4257080078124993 14.687 1967786010.595227 0.6239779925124207 1.0 1.0 1.0 22.1 2.8071655394759167 -95.17053305214165 -126.8940440695222 2.9445647380968176 0.0 1 -999.999 -999.999 -999.0 58.02961345688677 46.89442927922862 21.4 5.956580355929458 2.7182507938816567 5.956580355929458 36.5 4.636268877414976 1.954854192422369 45.29 53.387754634278046 9.0 9.0 
ESO202-041 8.322000024079612 16.967 14.387 -99.0 2.9158770528164166 -99.0 0.34500581359863425 15.088 570407734.5724593 0.4341853817182031 1.396383943860037 2.412951454990144 5.7195886340507105 17.1 1.4066162460911933 1.653391026107192 1.4477453760938597 1.4417561411659945 1.6946958150547653 2 0.467 0.255 0.59 48.446051289673186 39.547702156692225 18.7 3.2531251666186547 1.5382294620997257 3.1864035219839764 31.56 2.596070685768307 1.3610451700482387 38.94 52.03576380034903 8.9 8.9 
ESO234-043 9.121999486065807 26.95 14.106 -99.0 3.091567318797308 -99.0 0.5156098480224607 14.534 2397136833.4847116 0.25769333909477155 1.0 1.0 1.0826888529083354 18.7 2.443288972923181 2.351828957893971 2.9136547645019757 2.922205294442228 2.8128179304791496 2 0.505 -999.999 0.66 49.33996585465229 43.363193122377815 28.9 5.6657118495531575 3.775992049063098 5.811048272079623 58.96 7.70354640874603 3.766846047560177 57.35 75.60088396515735 8.9 8.9 
ESO234-049 9.9090005165437 35.986 12.645 0.245 1.7109123789840717 0.09440000000000004 -99.0 15.013 2749428545.5444317 -0.4697580791884679 1.0 1.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 3 -999.999 -999.999 0.66 22.81782111890692 51.06475525184853 29.4 8.909006775230994 5.129267689622572 9.012168211685903 23.36 4.075499769713717 2.5470128911836714 32.83 84.65653730865034 4.1 4.1 
ESO236-039 8.46199948620776 22.222 14.439 -99.0 2.9327254137965943 -99.0 0.34491390991210835 13.865 3018155229.6452174 1.0177420864235476 1.2748837814545229 2.2029991743534154 5.221923968837725 10.0 1.0773519501612003 1.1554599665478875 1.1743136256757085 1.1385862382745895 1.2211337405494975 2 0.143 -999.999 0.34 64.7025762095966 31.125852474540377 14.2 3.3533497863875903 1.5298397692289045 3.345637295898244 16.83 1.8131833321213002 1.0991144595544566 39.1 43.24734399263637 8.6 8.6 
